iter	Passed	Remaining
459	795	933
460	796	931
461	797	928
462	798	926
463	800	924
464	801	922
465	802	919
466	804	917
467	805	915
468	806	913
469	807	910
470	809	908
471	810	906
472	812	904
473	813	902
474	814	900
475	815	897
476	816	895
477	818	893
478	820	891
479	821	889
480	822	887
481	823	885
482	824	882
483	826	880
484	827	878
485	828	876
486	829	873
487	830	871
488	831	869
489	833	867
490	835	866
491	836	864
492	838	861
493	839	859
494	840	857
495	841	854
496	842	852
497	843	850
498	844	848
499	846	846
500	847	843
501	848	841
502	850	840
503	851	838
504	853	836
505	854	834
506	855	831
507	857	830
508	858	828
509	860	826
510	861	824
511	864	823
512	865	821
513	867	819
514	868	817
515	869	815
516	871	814
517	872	812
518	874	810
519	875	808
520	877	806
521	879	805
522	881	803
523	882	801
524	884	799
525	885	797
526	886	795
527	888	794
528	889	792
529	891	790
530	893	789
531	895	787
532	896	785
533	897	783
534	898	781
535	901	780
536	905	780
537	907	779
538	909	777
539	911	776
540	912	774
541	914	772
542	915	770
543	916	768
544	918	766
545	919	764
546	920	762
547	922	760
548	924	759
549	926	757
550	927	756
551	929	754
552	931	752
553	932	750
554	933	748
555	935	746
556	936	745
557	938	743
558	939	741
559	941	739
560	943	737
561	944	735
562	945	733
563	947	732
564	948	730
565	949	727
566	950	726
567	952	724
568	953	722
569	955	720
570	956	718
571	958	716
572	959	714
573	960	713
574	962	711
575	963	709
576	964	707
577	965	705
578	967	703
579	968	701
580	970	699
581	972	698
582	973	696
583	974	694
584	976	692
585	977	690
586	978	688
587	979	686
588	981	684
589	982	682
590	985	681
591	986	679
592	988	678
593	989	676
594	990	674
595	991	672
596	992	670
597	994	668
598	995	666
599	996	664
600	997	662
601	999	660
602	1001	659
603	1002	657
604	1003	655
605	1005	653
606	1006	651
607	1008	650
608	1009	648
609	1010	646
610	1011	644
611	1013	642
612	1016	641
613	1017	639
614	1019	638
615	1020	636
616	1021	634
617	1022	632
618	1023	630
619	1026	628
620	1027	627
621	1031	627
622	1034	625
623	1035	624
624	1037	622
625	1038	620
626	1041	619
627	1043	617
628	1045	616
629	1047	615
630	1048	613
631	1050	611
632	1051	609
633	1053	608
634	1056	607
635	1059	606
636	1061	604
637	1064	603
638	1068	603
639	1070	602
640	1072	600
641	1074	599
642	1076	597
643	1078	596
644	1080	594
645	1082	593
646	1084	591
647	1086	590
648	1087	588
649	1089	586
650	1091	585
651	1092	583
652	1094	581
653	1095	579
654	1096	577
655	1097	575
656	1099	574
657	1101	572
658	1104	571
659	1106	570
660	1108	568
661	1109	566
662	1111	564
663	1112	563
664	1114	561
665	1115	559
666	1117	557
667	1121	557
668	1123	555
669	1124	553
670	1125	552
671	1127	550
672	1128	548
673	1130	546
674	1132	545
675	1135	544
676	1136	542
677	1138	540
678	1139	538
679	1140	536
680	1141	534
681	1142	532
682	1144	531
683	1145	529
684	1146	527
685	1149	526
686	1152	524
687	1153	523
688	1156	522
689	1158	520
690	1160	518
691	1161	517
692	1163	515
693	1164	513
694	1167	512
695	1169	510
696	1171	509
697	1172	507
698	1174	505
699	1176	504
700	1177	502
701	1179	500
702	1182	499
703	1185	498
704	1187	496
705	1190	495
706	1191	493
707	1192	491
708	1194	490
709	1197	489
710	1199	487
711	1200	485
712	1203	484
713	1206	483
714	1207	481
715	1209	479
716	1211	478
717	1213	476
718	1215	474
719	1216	473
720	1218	471
721	1219	469
722	1220	467
723	1221	465
724	1223	463
725	1224	462
726	1227	460
727	1228	459
728	1229	457
729	1231	455
730	1232	453
731	1234	451
732	1235	449
733	1236	448
734	1238	446
735	1242	445
736	1243	443
737	1245	442
738	1247	440
739	1248	438
740	1249	436
741	1251	435
742	1252	433
743	1254	431
744	1256	430
745	1258	428
746	1260	426
747	1261	425
748	1263	423
749	1264	421
750	1266	419
751	1267	417
752	1268	416
753	1271	414
754	1274	413
755	1275	411
756	1277	409
757	1278	408
758	1280	406
759	1281	404
760	1283	402
761	1284	401
762	1286	399
763	1288	397
764	1290	396
765	1291	394
766	1293	392
767	1295	391
768	1296	389
769	1298	387
770	1302	386
771	1304	385
772	1305	383
773	1306	381
774	1308	379
775	1310	378
776	1311	376
777	1313	374
778	1315	373
779	1318	371
780	1319	370
781	1321	368
782	1323	366
783	1324	364
784	1326	363
785	1327	361
786	1328	359
787	1330	357
788	1332	356
789	1333	354
790	1334	352
791	1336	350
792	1337	349
793	1338	347
794	1340	345
795	1341	343
796	1342	342
797	1344	340
798	1345	338
799	1347	336
800	1348	335
801	1349	333
802	1351	331
803	1352	329
804	1353	327
805	1355	326
806	1356	324
807	1357	322
808	1359	320
809	1361	319
810	1362	317
811	1364	315
812	1365	314
813	1366	312
814	1367	310
815	1369	308
816	1370	306
817	1371	305
818	1373	303
819	1374	301
820	1376	300
821	1378	298
822	1379	296
823	1381	295
824	1382	293
825	1384	291
826	1385	289
827	1386	288
828	1388	286
829	1390	284
830	1392	283
831	1393	281
832	1395	279
833	1396	278
834	1398	276
835	1400	274
836	1402	273
837	1403	271
838	1404	269
839	1406	267
840	1407	266
841	1409	264
842	1410	262
843	1412	261
844	1413	259
845	1415	257
846	1416	255
847	1418	254
848	1419	252
849	1421	250
850	1423	249
851	1424	247
852	1425	245
853	1427	243
854	1428	242
855	1429	240
856	1431	238
857	1432	237
858	1434	235
859	1435	233
860	1437	232
861	1438	230
862	1440	228
863	1441	226
864	1442	225
865	1444	223
866	1445	221
867	1447	220
868	1448	218
869	1449	216
870	1451	214
871	1453	213
872	1454	211
873	1455	209
874	1456	208
875	1457	206
876	1459	204
877	1460	202
878	1461	201
879	1462	199
880	1464	197
881	1465	196
882	1467	194
883	1468	192
884	1469	190
885	1471	189
886	1472	187
887	1473	185
888	1474	184
889	1476	182
890	1477	180
891	1478	179
892	1480	177
893	1481	175
894	1483	173
895	1484	172
896	1485	170
897	1487	168
898	1489	167
899	1490	165
900	1492	164
901	1494	162
902	1496	160
903	1497	159
904	1499	157
905	1500	155
906	1501	153
907	1503	152
908	1504	150
909	1505	148
910	1507	147
911	1508	145
912	1510	143
913	1511	142
914	1513	140
915	1514	138
916	1515	137
917	1516	135
918	1518	133
919	1519	132
920	1521	130
921	1522	128
922	1524	127
923	1525	125
924	1527	123
925	1528	122
926	1529	120
927	1530	118
928	1532	117
929	1533	115
930	1535	113
931	1536	112
932	1537	110
933	1540	108
934	1541	107
935	1542	105
936	1543	103
937	1544	102
938	1546	100
939	1547	98
940	1548	97
941	1549	95
942	1550	93
943	1552	92
944	1553	90
945	1555	88
946	1556	87
947	1557	85
948	1558	83
949	1559	82
950	1560	80
951	1562	78
952	1563	77
953	1564	75
954	1565	73
955	1567	72
956	1568	70
957	1570	68
958	1571	67
959	1572	65
960	1573	63
961	1575	62
962	1576	60
963	1577	58
964	1579	57
965	1580	55
966	1581	53
967	1582	52
968	1583	50
969	1585	49
970	1587	47
971	1588	45
972	1589	44
973	1590	42
974	1592	40
975	1593	39
976	1594	37
977	1596	35
978	1597	34
979	1598	32
980	1600	30
981	1601	29
982	1602	27
983	1603	26
984	1605	24
985	1606	22
986	1607	21
987	1608	19
988	1609	17
989	1611	16
990	1612	14
991	1613	13
992	1614	11
993	1616	9
994	1618	8
995	1619	6
996	1620	4
997	1621	3
998	1622	1
999	1623	0
